question,answer,context,result,is_correct,model_name,correct,prediction,error,temperature
Find the name of the user who has the largest number of followers.,SELECT name FROM user_profiles ORDER BY followers DESC LIMIT 1,"CREATE TABLE user_profiles (name VARCHAR, followers VARCHAR)",SELECT name FROM user_profiles WHERE followers = (SELECT MAX(cast(followers as integer)) FROM user_profiles),False,mistralai/Mixtral-8x7B-Instruct-v0.1,"name
Davi",name,,0.0
Find the name and email of the user followed by the least number of people.,"SELECT name, email FROM user_profiles ORDER BY followers LIMIT 1","CREATE TABLE user_profiles (name VARCHAR, email VARCHAR, followers VARCHAR)","SELECT name, email FROM user_profiles WHERE followers = (SELECT MIN(followers) FROM user_profiles)",True,mistralai/Mixtral-8x7B-Instruct-v0.1,"name email
Alic alice","name email
Alic alice",,0.0
"List the name and number of followers for each user, and sort the results by the number of followers in descending order.","SELECT name, followers FROM user_profiles ORDER BY followers DESC","CREATE TABLE user_profiles (name VARCHAR, followers VARCHAR)","SELECT name, followers FROM user_profiles ORDER BY CAST(followers AS INT) DESC",False,mistralai/Mixtral-8x7B-Instruct-v0.1,"name followers
 Bob       800
Davi       600
 Eve      1500
Char      1200
Alic      1000","name followers
 Eve      1500
Char      1200
Alic      1000
 Bob       800
Davi       600",,0.0
List the names of 5 users followed by the largest number of other users.,SELECT name FROM user_profiles ORDER BY followers DESC LIMIT 5,"CREATE TABLE user_profiles (name VARCHAR, followers VARCHAR)","SELECT name, MAX(followers) as max_followers FROM user_profiles WHERE name IN (SELECT followed_user FROM (SELECT user1 as followed_user, COUNT(*) as num_followers FROM user_profiles user1 JOIN user_profiles user2 ON user1.name = user2.followers GROUP BY user1.name ORDER BY num_followers DESC LIMIT 5) subquery) GROUP BY name;",False,mistralai/Mixtral-8x7B-Instruct-v0.1,"name
 Eve
Davi
Char
 Bob
Alic",,Column 'user1' could not be resolved,0.0
List the text of all tweets in the order of date.,SELECT text FROM tweets ORDER BY createdate,"CREATE TABLE tweets (text VARCHAR, createdate VARCHAR)","SELECT text, createdate FROM tweets ORDER BY createdate",False,mistralai/Mixtral-8x7B-Instruct-v0.1,"text
Hell
Good
Happ
Week
Codi","text createdate
Hell 2022-01-01
Good 2022-01-02
Happ 2022-01-03
Week 2022-01-04
Codi 2022-01-05",,0.0
Find the average number of followers for the users who do not have any tweet.,SELECT AVG(followers) FROM user_profiles WHERE NOT UID IN (SELECT UID FROM tweets),"CREATE TABLE user_profiles (followers INTEGER, UID VARCHAR); CREATE TABLE tweets (followers INTEGER, UID VARCHAR)",SELECT AVG(user_profiles.followers) FROM user_profiles LEFT JOIN tweets ON user_profiles.UID = tweets.UID WHERE tweets.UID IS NULL,False,mistralai/Mixtral-8x7B-Instruct-v0.1,"_col_0
 150.0","_col_0
  None",,0.0
Find the average number of followers for the users who had some tweets.,SELECT AVG(followers) FROM user_profiles WHERE UID IN (SELECT UID FROM tweets),"CREATE TABLE user_profiles (followers INTEGER, UID VARCHAR); CREATE TABLE tweets (followers INTEGER, UID VARCHAR)",SELECT AVG(followers) FROM user_profiles WHERE UID IN (SELECT UID FROM tweets),True,mistralai/Mixtral-8x7B-Instruct-v0.1,"_col_0
123.33","_col_0
123.33",,0.0
Find the maximum and total number of followers of all users.,"SELECT MAX(followers), SUM(followers) FROM user_profiles",CREATE TABLE user_profiles (followers INTEGER),"SELECT MAX(followers), SUM(followers) FROM user_profiles;",True,mistralai/Mixtral-8x7B-Instruct-v0.1,"_col_0 _col_1
   300   1000","_col_0 _col_1
   300   1000",,0.0
Find the names of all the catalog entries.,SELECT DISTINCT (catalog_entry_name) FROM catalog_contents,CREATE TABLE catalog_contents (catalog_entry_name VARCHAR),SELECT catalog_entry_name FROM catalog_contents,True,mistralai/Mixtral-8x7B-Instruct-v0.1,"catalog_entry_name
           Entry 1
           Entry 2
           Entry 3
           Entry 4
           Entry 5","catalog_entry_name
           Entry 1
           Entry 2
           Entry 3
           Entry 4
           Entry 5",,0.0
Find the list of attribute data types possessed by more than 3 attribute definitions.,SELECT attribute_data_type FROM Attribute_Definitions GROUP BY attribute_data_type HAVING COUNT(*) > 3,CREATE TABLE Attribute_Definitions (attribute_data_type VARCHAR),SELECT attribute_data_type FROM Attribute_Definitions GROUP BY attribute_data_type HAVING COUNT(*) > 3;,True,mistralai/Mixtral-8x7B-Instruct-v0.1,attribute_data_type,attribute_data_type,,0.0
Find the name and level of catalog structure with level between 5 and 10.,"SELECT catalog_level_name, catalog_level_number FROM Catalog_Structure WHERE catalog_level_number BETWEEN 5 AND 10","CREATE TABLE Catalog_Structure (catalog_level_name VARCHAR, catalog_level_number INTEGER)","SELECT catalog_level_name, catalog_level_number FROM Catalog_Structure WHERE catalog_level_number BETWEEN 5 AND 10",True,mistralai/Mixtral-8x7B-Instruct-v0.1,"catalog_level_name catalog_level_number
           Level 5                    5","catalog_level_name catalog_level_number
           Level 5                    5",,0.0
Which catalog publisher has published the most catalogs?,SELECT catalog_publisher FROM catalogs GROUP BY catalog_publisher ORDER BY COUNT(*) DESC LIMIT 1,CREATE TABLE catalogs (catalog_publisher VARCHAR),"SELECT catalog_publisher, COUNT(*) as total FROM catalogs GROUP BY catalog_publisher ORDER BY total DESC LIMIT 1",False,mistralai/Mixtral-8x7B-Instruct-v0.1,"catalog_publisher
      Publisher A","catalog_publisher total
      Publisher A     2",,0.0
What are the entry names of catalog with the attribute possessed by most entries.,SELECT t1.catalog_entry_name FROM Catalog_Contents AS t1 JOIN Catalog_Contents_Additional_Attributes AS t2 ON t1.catalog_entry_id = t2.catalog_entry_id WHERE t2.attribute_value = (SELECT attribute_value FROM Catalog_Contents_Additional_Attributes GROUP BY attribute_value ORDER BY COUNT(*) DESC LIMIT 1),"CREATE TABLE Catalog_Contents_Additional_Attributes (catalog_entry_id VARCHAR, attribute_value VARCHAR); CREATE TABLE Catalog_Contents (catalog_entry_name VARCHAR, catalog_entry_id VARCHAR); CREATE TABLE Catalog_Contents_Additional_Attributes (attribute_value VARCHAR)","SELECT cc.catalog_entry_name, ccaa1.attribute_value FROM Catalog_Contents cc JOIN Catalog_Contents_Additional_Attributes ccaa1 ON cc.catalog_entry_id = ccaa1.catalog_entry_id JOIN (SELECT attribute_value, COUNT(*) as attribute_count FROM Catalog_Contents_Additional_Attributes GROUP BY attribute_value ORDER BY COUNT(*) DESC LIMIT 1) ccaa2 ON ccaa1.attribute_value = ccaa2.attribute_value",False,mistralai/Mixtral-8x7B-Instruct-v0.1,"catalog_entry_name
            Entry1","catalog_entry_name attribute_value
            Entry1          Value1",,0.0
What is the entry name of the most expensive catalog (in USD)?,SELECT catalog_entry_name FROM catalog_contents ORDER BY price_in_dollars DESC LIMIT 1,"CREATE TABLE catalog_contents (catalog_entry_name VARCHAR, price_in_dollars VARCHAR)","SELECT catalog_entry_name FROM catalog_contents ORDER BY CAST(price_in_dollars AS DECIMAL(10,2)) DESC LIMIT 1",False,mistralai/Mixtral-8x7B-Instruct-v0.1,"catalog_entry_name
         Product D",,Step 'Sort: catalog_contents (5096003024)' failed: 'Type' object is not callable,0.0
What is the level name of the cheapest catalog (in USD)?,SELECT t2.catalog_level_name FROM catalog_contents AS t1 JOIN catalog_structure AS t2 ON t1.catalog_level_number = t2.catalog_level_number ORDER BY t1.price_in_dollars LIMIT 1,"CREATE TABLE catalog_structure (catalog_level_name VARCHAR, catalog_level_number VARCHAR); CREATE TABLE catalog_contents (catalog_level_number VARCHAR, price_in_dollars VARCHAR)",SELECT cs.catalog_level_name FROM catalog_structure cs JOIN catalog_contents cc ON cs.catalog_level_number = cc.catalog_level_number WHERE cc.price_in_dollars = (SELECT MIN(price_in_dollars) FROM catalog_contents WHERE price_in_dollars IS NOT NULL),True,mistralai/Mixtral-8x7B-Instruct-v0.1,"catalog_level_name
           Level 1","catalog_level_name
           Level 1",,0.0
What are the average and minimum price (in Euro) of all products?,"SELECT AVG(price_in_euros), MIN(price_in_euros) FROM catalog_contents",CREATE TABLE catalog_contents (price_in_euros INTEGER),"SELECT AVG(price_in_euros) AS average_price, MIN(price_in_euros) AS min_price FROM catalog_contents",False,mistralai/Mixtral-8x7B-Instruct-v0.1,"_col_0 _col_1
  20.0     10","average_price min_price
         20.0        10",,0.0
What is the product with the highest height? Give me the catalog entry name.,SELECT catalog_entry_name FROM catalog_contents ORDER BY height DESC LIMIT 1,"CREATE TABLE catalog_contents (catalog_entry_name VARCHAR, height VARCHAR)",SELECT catalog_entry_name FROM catalog_contents ORDER BY CAST(height AS INT) DESC LIMIT 1;,False,mistralai/Mixtral-8x7B-Instruct-v0.1,"catalog_entry_name
         Product E",,Step 'Sort: catalog_contents (5096204816)' failed: invalid literal for int() with base 10: '10cm',0.0
Find the name of the product that has the smallest capacity.,SELECT catalog_entry_name FROM catalog_contents ORDER BY capacity LIMIT 1,"CREATE TABLE catalog_contents (catalog_entry_name VARCHAR, capacity VARCHAR)",SELECT catalog_entry_name FROM catalog_contents ORDER BY CAST(capacity AS INT) ASC LIMIT 1,False,mistralai/Mixtral-8x7B-Instruct-v0.1,"catalog_entry_name
         Product A",,Step 'Sort: catalog_contents (5096011040)' failed: invalid literal for int() with base 10: '10GB',0.0
Find the name and attribute ID of the attribute definitions with attribute value 0.,"SELECT t1.attribute_name, t1.attribute_id FROM Attribute_Definitions AS t1 JOIN Catalog_Contents_Additional_Attributes AS t2 ON t1.attribute_id = t2.attribute_id WHERE t2.attribute_value = 0","CREATE TABLE Catalog_Contents_Additional_Attributes (attribute_id VARCHAR, attribute_value VARCHAR); CREATE TABLE Attribute_Definitions (attribute_name VARCHAR, attribute_id VARCHAR)","SELECT Attribute_Definitions.attribute_name, Catalog_Contents_Additional_Attributes.attribute_id FROM Attribute_Definitions JOIN Catalog_Contents_Additional_Attributes ON Attribute_Definitions.attribute_id = Catalog_Contents_Additional_Attributes.attribute_id AND Catalog_Contents_Additional_Attributes.attribute_value = '0';",False,mistralai/Mixtral-8x7B-Instruct-v0.1,attribute_name attribute_id,"attribute_name attribute_id
    Attribute1            1
    Attribute2            2
    Attribute3            3
    Attribute4            4
    Attribute5            5",,0.0
Find the name and capacity of products with price greater than 700 (in USD).,"SELECT catalog_entry_name, capacity FROM Catalog_Contents WHERE price_in_dollars > 700","CREATE TABLE Catalog_Contents (catalog_entry_name VARCHAR, capacity VARCHAR, price_in_dollars INTEGER)","SELECT catalog_entry_name, capacity FROM Catalog_Contents WHERE price_in_dollars > 700",True,mistralai/Mixtral-8x7B-Instruct-v0.1,"catalog_entry_name capacity
         Product A     10GB
         Product B     20GB
         Product C     15GB
         Product D     25GB
         Product E     30GB","catalog_entry_name capacity
         Product A     10GB
         Product B     20GB
         Product C     15GB
         Product D     25GB
         Product E     30GB",,0.0
Find the dates on which more than one revisions were made.,SELECT date_of_latest_revision FROM Catalogs GROUP BY date_of_latest_revision HAVING COUNT(*) > 1,CREATE TABLE Catalogs (date_of_latest_revision VARCHAR),SELECT date_of_latest_revision FROM Catalogs GROUP BY date_of_latest_revision HAVING COUNT(date_of_latest_revision) > 1;,True,mistralai/Mixtral-8x7B-Instruct-v0.1,"date_of_latest_revision
             2022-03-25","date_of_latest_revision
             2022-03-25",,0.0
How many products are there in the records?,SELECT COUNT(*) FROM catalog_contents,CREATE TABLE catalog_contents (Id VARCHAR),SELECT COUNT(*) FROM catalog_contents,True,mistralai/Mixtral-8x7B-Instruct-v0.1,"_col_0
     5","_col_0
     5",,0.0
Name all the products with next entry ID greater than 8.,SELECT catalog_entry_name FROM catalog_contents WHERE next_entry_id > 8,"CREATE TABLE catalog_contents (catalog_entry_name VARCHAR, next_entry_id INTEGER)",SELECT catalog_entry_name FROM catalog_contents WHERE next_entry_id > 8,True,mistralai/Mixtral-8x7B-Instruct-v0.1,"catalog_entry_name
         Product A
         Product C
         Product E","catalog_entry_name
         Product A
         Product C
         Product E",,0.0
How many aircrafts do we have?,SELECT COUNT(*) FROM Aircraft,CREATE TABLE Aircraft (Id VARCHAR),SELECT COUNT(*) FROM Aircraft,True,mistralai/Mixtral-8x7B-Instruct-v0.1,"_col_0
     5","_col_0
     5",,0.0
Show name and distance for all aircrafts.,"SELECT name, distance FROM Aircraft","CREATE TABLE Aircraft (name VARCHAR, distance VARCHAR)","SELECT name, distance FROM Aircraft",True,mistralai/Mixtral-8x7B-Instruct-v0.1,"name distance
Boei 10000 km
Airb 12000 km
Cess   800 km
Embr  3000 km
Bomb 14000 km","name distance
Boei 10000 km
Airb 12000 km
Cess   800 km
Embr  3000 km
Bomb 14000 km",,0.0
Show ids for all aircrafts with more than 1000 distance.,SELECT aid FROM Aircraft WHERE distance > 1000,"CREATE TABLE Aircraft (aid VARCHAR, distance INTEGER)",SELECT aid FROM Aircraft WHERE distance > 1000,True,mistralai/Mixtral-8x7B-Instruct-v0.1,"aid
A00
A00
A00","aid
A00
A00
A00",,0.0
How many aircrafts have distance between 1000 and 5000?,SELECT COUNT(*) FROM Aircraft WHERE distance BETWEEN 1000 AND 5000,CREATE TABLE Aircraft (distance INTEGER),,False,mistralai/Mixtral-8x7B-Instruct-v0.1,SELECT COUNT(*) FROM Aircraft WHERE distance BETWEEN 1000 AND 5000,,Invalid json output: {,0.0
What is the name and distance for aircraft with id 12?,"SELECT name, distance FROM Aircraft WHERE aid = 12","CREATE TABLE Aircraft (name VARCHAR, distance VARCHAR, aid VARCHAR)","SELECT name, distance FROM Aircraft WHERE aid = '12'",False,mistralai/Mixtral-8x7B-Instruct-v0.1,name distance,"name distance
Airb  1000 km",,0.0
"What is the minimum, average, and maximum distance of all aircrafts.","SELECT MIN(distance), AVG(distance), MAX(distance) FROM Aircraft",CREATE TABLE Aircraft (distance INTEGER),"SELECT MIN(distance) AS minimum, AVG(distance) AS average, MAX(distance) AS maximum FROM Aircraft",False,mistralai/Mixtral-8x7B-Instruct-v0.1,"_col_0 _col_1 _col_2
   100  200.0    300","minimum average maximum
    100   200.0     300",,0.0
Show the id and name of the aircraft with the maximum distance.,"SELECT aid, name FROM Aircraft ORDER BY distance DESC LIMIT 1","CREATE TABLE Aircraft (aid VARCHAR, name VARCHAR, distance VARCHAR)","SELECT aid, name FROM Aircraft WHERE distance = (SELECT MAX(distance) FROM Aircraft)",True,mistralai/Mixtral-8x7B-Instruct-v0.1,"aid name
  4 Embr","aid name
  4 Embr",,0.0
Show the name of aircrafts with top three lowest distances.,SELECT name FROM Aircraft ORDER BY distance LIMIT 3,"CREATE TABLE Aircraft (name VARCHAR, distance VARCHAR)","SELECT name, distance FROM Aircraft ORDER BY distance ASC LIMIT 3",False,mistralai/Mixtral-8x7B-Instruct-v0.1,"name
Boei
Cess
Embr","name distance
Boei 1000 mil
Cess 500 mile
Embr 600 mile",,0.0
Show names for all aircrafts with distances more than the average.,SELECT name FROM Aircraft WHERE distance > (SELECT AVG(distance) FROM Aircraft),"CREATE TABLE Aircraft (name VARCHAR, distance INTEGER)",SELECT name FROM Aircraft WHERE distance > (SELECT AVG(distance) FROM Aircraft);,True,mistralai/Mixtral-8x7B-Instruct-v0.1,"name
Boei
Bomb","name
Boei
Bomb",,0.0
How many employees do we have?,SELECT COUNT(*) FROM Employee,CREATE TABLE Employee (Id VARCHAR),SELECT COUNT(*) FROM Employee,True,mistralai/Mixtral-8x7B-Instruct-v0.1,"_col_0
     5","_col_0
     5",,0.0
Show name and salary for all employees sorted by salary.,"SELECT name, salary FROM Employee ORDER BY salary","CREATE TABLE Employee (name VARCHAR, salary VARCHAR)","SELECT name, salary FROM Employee ORDER BY salary",True,mistralai/Mixtral-8x7B-Instruct-v0.1,"name salary
Alic  50000
Davi  52000
Char  55000
 Eve  58000
 Bob  60000","name salary
Alic  50000
Davi  52000
Char  55000
 Eve  58000
 Bob  60000",,0.0
Show ids for all employees with at least 100000 salary.,SELECT eid FROM Employee WHERE salary > 100000,"CREATE TABLE Employee (eid VARCHAR, salary INTEGER)",SELECT eid FROM Employee WHERE salary >= 100000,True,mistralai/Mixtral-8x7B-Instruct-v0.1,"eid
001
003
004","eid
001
003
004",,0.0
How many employees have salary between 100000 and 200000?,SELECT COUNT(*) FROM Employee WHERE salary BETWEEN 100000 AND 200000,CREATE TABLE Employee (salary INTEGER),,False,mistralai/Mixtral-8x7B-Instruct-v0.1,SELECT COUNT(*) FROM Employee WHERE salary BETWEEN 100000 AND 200000,,Invalid json output: {,0.0
What is the name and salary for employee with id 242518965?,"SELECT name, salary FROM Employee WHERE eid = 242518965","CREATE TABLE Employee (name VARCHAR, salary VARCHAR, eid VARCHAR)","SELECT name, salary FROM Employee WHERE eid = '242518965'",False,mistralai/Mixtral-8x7B-Instruct-v0.1,name salary,"name salary
John $50,00",,0.0
What is average and maximum salary of all employees.,"SELECT AVG(salary), MAX(salary) FROM Employee",CREATE TABLE Employee (salary INTEGER),"SELECT AVG(salary), MAX(salary) FROM Employee",True,mistralai/Mixtral-8x7B-Instruct-v0.1,"_col_0 _col_1
70000.  90000","_col_0 _col_1
70000.  90000",,0.0
Show the id and name of the employee with maximum salary.,"SELECT eid, name FROM Employee ORDER BY salary DESC LIMIT 1","CREATE TABLE Employee (eid VARCHAR, name VARCHAR, salary VARCHAR)","SELECT eid, name FROM Employee WHERE salary = (SELECT MAX(salary) FROM Employee)",True,mistralai/Mixtral-8x7B-Instruct-v0.1,"eid name
005  Eve","eid name
005  Eve",,0.0
Show the name of employees with three lowest salaries.,SELECT name FROM Employee ORDER BY salary LIMIT 3,"CREATE TABLE Employee (name VARCHAR, salary VARCHAR)","SELECT name FROM Employee 
ORDER BY CAST(salary AS DECIMAL(10,2)) ASC 
LIMIT 3",False,mistralai/Mixtral-8x7B-Instruct-v0.1,"name
 Eve
Char
Alic",,Step 'Sort: employee (5096265504)' failed: 'Type' object is not callable,0.0
Show names for all employees with salary more than the average.,SELECT name FROM Employee WHERE salary > (SELECT AVG(salary) FROM Employee),"CREATE TABLE Employee (name VARCHAR, salary INTEGER)",SELECT name FROM Employee WHERE salary > (SELECT AVG(salary) FROM Employee),True,mistralai/Mixtral-8x7B-Instruct-v0.1,"name
Davi
 Eve","name
Davi
 Eve",,0.0
Show the id and salary of Mark Young.,"SELECT eid, salary FROM Employee WHERE name = 'Mark Young'","CREATE TABLE Employee (eid VARCHAR, salary VARCHAR, name VARCHAR)","SELECT eid, salary FROM Employee WHERE name = 'Mark Young'",True,mistralai/Mixtral-8x7B-Instruct-v0.1,"eid salary
003  70000","eid salary
003  70000",,0.0
How many flights do we have?,SELECT COUNT(*) FROM Flight,CREATE TABLE Flight (Id VARCHAR),SELECT COUNT(*) FROM Flight,True,mistralai/Mixtral-8x7B-Instruct-v0.1,"_col_0
     5","_col_0
     5",,0.0
"Show flight number, origin, destination of all flights in the alphabetical order of the departure cities.","SELECT flno, origin, destination FROM Flight ORDER BY origin","CREATE TABLE Flight (flno VARCHAR, origin VARCHAR, destination VARCHAR)","SELECT flno, origin, destination FROM Flight ORDER BY origin",True,mistralai/Mixtral-8x7B-Instruct-v0.1,"flno origin destination
DD40 Boston Washington 
AA10 Chicag    New York
EE50 Dallas     Houston
BB20 Los An       Miami
CC30 San Fr     Seattle","flno origin destination
DD40 Boston Washington 
AA10 Chicag    New York
EE50 Dallas     Houston
BB20 Los An       Miami
CC30 San Fr     Seattle",,0.0
Show flight number for all flights with more than 2000 distance.,SELECT flno FROM Flight WHERE distance > 2000,"CREATE TABLE Flight (flno VARCHAR, distance INTEGER)",SELECT flno FROM Flight WHERE distance > 2000,True,mistralai/Mixtral-8x7B-Instruct-v0.1,"flno
AA12
BB45
CC78
DD01
EE34","flno
AA12
BB45
CC78
DD01
EE34",,0.0
Show origin and destination for flights with price higher than 300.,"SELECT origin, destination FROM Flight WHERE price > 300","CREATE TABLE Flight (origin VARCHAR, destination VARCHAR, price INTEGER)","SELECT origin, destination FROM Flight WHERE price > 300",True,mistralai/Mixtral-8x7B-Instruct-v0.1,"origin destination
New Yo Los Angeles
Chicag       Miami
Dallas San Francis
Seattl      Boston
Atlant   Las Vegas","origin destination
New Yo Los Angeles
Chicag       Miami
Dallas San Francis
Seattl      Boston
Atlant   Las Vegas",,0.0
Show the flight number and distance of the flight with maximum price.,"SELECT flno, distance FROM Flight ORDER BY price DESC LIMIT 1","CREATE TABLE Flight (flno VARCHAR, distance VARCHAR, price VARCHAR)","SELECT flno, distance FROM Flight WHERE price = (SELECT MAX(price) FROM Flight)",True,mistralai/Mixtral-8x7B-Instruct-v0.1,"flno distance
F500     2000","flno distance
F500     2000",,0.0
Show the flight number of flights with three lowest distances.,SELECT flno FROM Flight ORDER BY distance LIMIT 3,"CREATE TABLE Flight (flno VARCHAR, distance VARCHAR)",SELECT flno FROM Flight ORDER BY CAST(distance AS integer) ASC LIMIT 3,True,mistralai/Mixtral-8x7B-Instruct-v0.1,"flno
FL00
FL00
FL00","flno
FL00
FL00
FL00",,0.0
Show all origins and the number of flights from each origin.,"SELECT origin, COUNT(*) FROM Flight GROUP BY origin",CREATE TABLE Flight (origin VARCHAR),"SELECT origin, COUNT(*) as number_of_flights FROM Flight GROUP BY origin",False,mistralai/Mixtral-8x7B-Instruct-v0.1,"origin _col_1
Chicag      1
Dallas      1
Los An      1
 Miami      1
New Yo      1","origin number_of_flights
Chicag                 1
Dallas                 1
Los An                 1
 Miami                 1
New Yo                 1",,0.0
Show all destinations and the number of flights to each destination.,"SELECT destination, COUNT(*) FROM Flight GROUP BY destination",CREATE TABLE Flight (destination VARCHAR),"SELECT destination, COUNT(*) as number_of_flights 
FROM Flight 
GROUP BY destination",False,mistralai/Mixtral-8x7B-Instruct-v0.1,"destination _col_1
    Chicago      1
     Dallas      1
Los Angeles      1
      Miami      1
   New York      1","destination number_of_flights
    Chicago                 1
     Dallas                 1
Los Angeles                 1
      Miami                 1
   New York                 1",,0.0
Which origin has most number of flights?,SELECT origin FROM Flight GROUP BY origin ORDER BY COUNT(*) DESC LIMIT 1,CREATE TABLE Flight (origin VARCHAR),"SELECT origin, COUNT(origin) as flight_count FROM Flight GROUP BY origin ORDER BY flight_count DESC LIMIT 1",False,mistralai/Mixtral-8x7B-Instruct-v0.1,"origin
Chicag","origin flight_count
Chicag            1",,0.0
Which destination has least number of flights?,SELECT destination FROM Flight GROUP BY destination ORDER BY COUNT(*) LIMIT 1,CREATE TABLE Flight (destination VARCHAR),SELECT destination FROM Flight GROUP BY destination HAVING COUNT(*) = (SELECT MIN(count) FROM (SELECT COUNT(*) as count FROM Flight GROUP BY destination) as subquery),False,mistralai/Mixtral-8x7B-Instruct-v0.1,"destination
    Chicago","destination
    Chicago
Los Angeles
      Miami
   New York
    Seattle",,0.0
What is the aircraft name for the flight with number 99,SELECT T2.name FROM Flight AS T1 JOIN Aircraft AS T2 ON T1.aid = T2.aid WHERE T1.flno = 99,"CREATE TABLE Flight (aid VARCHAR, flno VARCHAR); CREATE TABLE Aircraft (name VARCHAR, aid VARCHAR)",SELECT Aircraft.name FROM Aircraft JOIN Flight ON Aircraft.aid = Flight.aid WHERE Flight.flno = '99',False,mistralai/Mixtral-8x7B-Instruct-v0.1,name,"name
Boei",,0.0
Show names for all aircraft with at least two flights.,SELECT T2.name FROM Flight AS T1 JOIN Aircraft AS T2 ON T1.aid = T2.aid GROUP BY T1.aid HAVING COUNT(*) >= 2,"CREATE TABLE Aircraft (name VARCHAR, aid VARCHAR); CREATE TABLE Flight (aid VARCHAR)",SELECT Aircraft.name FROM Aircraft INNER JOIN Flight ON Aircraft.aid = Flight.aid GROUP BY Aircraft.name HAVING COUNT(DISTINCT Flight.aid) >= 2,True,mistralai/Mixtral-8x7B-Instruct-v0.1,name,name,,0.0
How many employees have certificate.,SELECT COUNT(DISTINCT eid) FROM Certificate,CREATE TABLE Certificate (eid VARCHAR),SELECT COUNT(*) FROM Certificate,True,mistralai/Mixtral-8x7B-Instruct-v0.1,"_col_0
     5","_col_0
     5",,0.0
How many allergies are there?,SELECT COUNT(DISTINCT allergy) FROM Allergy_type,CREATE TABLE Allergy_type (allergy VARCHAR),SELECT COUNT(*) FROM Allergy_type,True,mistralai/Mixtral-8x7B-Instruct-v0.1,"_col_0
     5","_col_0
     5",,0.0
How many different allergy types exist?,SELECT COUNT(DISTINCT allergytype) FROM Allergy_type,CREATE TABLE Allergy_type (allergytype VARCHAR),SELECT COUNT(DISTINCT allergytype) FROM Allergy_type;,True,mistralai/Mixtral-8x7B-Instruct-v0.1,"_col_0
     5","_col_0
     5",,0.0
Show all allergy types.,SELECT DISTINCT allergytype FROM Allergy_type,CREATE TABLE Allergy_type (allergytype VARCHAR),SELECT allergytype FROM Allergy_type,False,mistralai/Mixtral-8x7B-Instruct-v0.1,"allergytype
Dairy aller
Gluten alle
Peanut alle
Shellfish a
Soy allergy","allergytype
Peanut alle
Shellfish a
Dairy aller
Gluten alle
Soy allergy",,0.0
Show all allergies and their types.,"SELECT allergy, allergytype FROM Allergy_type","CREATE TABLE Allergy_type (allergy VARCHAR, allergytype VARCHAR)","SELECT allergy, allergytype FROM Allergy_type",True,mistralai/Mixtral-8x7B-Instruct-v0.1,"allergy allergytype
 Peanut        Food
 Pollen Environment
Penicil  Medication
    Cat      Animal
   Dust Environment","allergy allergytype
 Peanut        Food
 Pollen Environment
Penicil  Medication
    Cat      Animal
   Dust Environment",,0.0
Show all allergy types and the number of allergies in each type.,"SELECT allergytype, COUNT(*) FROM Allergy_type GROUP BY allergytype",CREATE TABLE Allergy_type (allergytype VARCHAR),"SELECT Allergy_type, COUNT(*) as num_allergies FROM Allergy_type GROUP BY Allergy_type",False,mistralai/Mixtral-8x7B-Instruct-v0.1,"allergytype _col_1
Gluten alle      1
Lactose int      1
Peanut alle      1
Pollen alle      1
Shellfish a      1",,Column 'allergy_type' could not be resolved,0.0
Which allergy type has most number of allergies?,SELECT allergytype FROM Allergy_type GROUP BY allergytype ORDER BY COUNT(*) DESC LIMIT 1,CREATE TABLE Allergy_type (allergytype VARCHAR),"SELECT allergytype, COUNT(*) as allergy_count 
FROM Allergy_type 
JOIN Allergy on Allergy_type.allergytype = Allergy.allergytype 
GROUP BY allergytype 
ORDER BY allergy_count DESC 
LIMIT 1;",False,mistralai/Mixtral-8x7B-Instruct-v0.1,"allergytype
Dairy aller",,Step 'Scan: allergy (5096005328)' failed: 'NoneType' object has no attribute 'range_reader',0.0
Which allergy type has least number of allergies?,SELECT allergytype FROM Allergy_type GROUP BY allergytype ORDER BY COUNT(*) LIMIT 1,CREATE TABLE Allergy_type (allergytype VARCHAR),SELECT allergytype FROM Allergy_type GROUP BY allergytype HAVING COUNT(*) = (SELECT MIN(count) FROM (SELECT COUNT(*) as count FROM Allergy_type GROUP BY allergytype) as subquery),False,mistralai/Mixtral-8x7B-Instruct-v0.1,"allergytype
      Dairy","allergytype
      Dairy
     Gluten
     Peanut
  Shellfish
        Soy",,0.0
How many students are there?,SELECT COUNT(*) FROM Student,CREATE TABLE Student (Id VARCHAR),SELECT COUNT(*) FROM Student,True,mistralai/Mixtral-8x7B-Instruct-v0.1,"_col_0
     5","_col_0
     5",,0.0
Show first name and last name for all students.,"SELECT Fname, Lname FROM Student","CREATE TABLE Student (Fname VARCHAR, Lname VARCHAR)","SELECT Fname, Lname FROM Student",True,mistralai/Mixtral-8x7B-Instruct-v0.1,"fname lname
 John   Doe
 Jane Smith
Micha Johns
Sarah Willi
David Brown","fname lname
 John   Doe
 Jane Smith
Micha Johns
Sarah Willi
David Brown",,0.0
How many different advisors are listed?,SELECT COUNT(DISTINCT advisor) FROM Student,CREATE TABLE Student (advisor VARCHAR),SELECT COUNT(DISTINCT advisor) FROM Student,True,mistralai/Mixtral-8x7B-Instruct-v0.1,"_col_0
     5","_col_0
     5",,0.0
